Israeli Cyber Ecosystem — Deal Database | Lama Partners | Jun 2026 | 331 companies | 485 deal rows | Sources: PitchBook + Startup Nation Finder + Web Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY INFO — repeats on every deal row,,,,,,,,,,,,,,,,,,DEAL INFO — changes per row,,,,,META,
Company Name,Website,PitchBook URL,Founding Year,Employees,Description (1 line),HQ City / Region,HQ Country,Sector Tag,Founders,Military Unit,Last Role Before Founding,Founder LinkedIn (to fill),Angels Involved,Customers (public),Total Raised ($M),Post-Money Valuation ($M),Acquired?,Acquirer,Exit Size ($M),Round Type,Round Date,Round Size ($M),Lead Investor,Co-Investors,Round Valuation ($M),Source,Notes
Clutch Security,www.clutch.security,https://my.pitchbook.com/profile/600003-19/company/profile,2023,30,Non-human identity (NHI) security — manages and secures machine identities and service accounts,"Tel Aviv, Israel",Israel,Identity & Access,Sagi Haas,Unknown,,,,,28.50,,No,,,Series A,,28.5,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cognni,cognni.ai,,,,Developer of a cloud-based security platform designed to transform the process of sharing business information. The c...,Tel Aviv,Israel,Data Security,,Unknown,,,,,4.0,,No,,,Later Stage VC,Nov 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Information Technology
Cognyte,cognyte.com,,2020,500+,Investigative Analytics Software,Tel Aviv,Israel,OT / ICS / IoT,,Unknown,,,,,5.0,,No,,,IPO/Public,,5.0,,,,Startup Nation Finder,Stage: Public. Business Model: B2B.
Conifers,conifers.ai,,2024,11-50,AI-based SOC Solutions,Tel Aviv,Israel,Security Operations,,Unknown,,,,,25.0,,No,,,Seed,,25.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
CopperHelm,www.copperhelm.com,https://my.pitchbook.com/profile/753165-28/company/profile,,,Cloud identity security and privilege management platform,"Tel Aviv, Israel",Israel,Identity & Access,,Unknown,,,,,14.00,,No,,,Early Stage VC,Nov 2024,7.00,,,24.00,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CopperHelm,www.copperhelm.com,https://my.pitchbook.com/profile/753165-28/company/profile,,,Cloud identity security and privilege management platform,"Tel Aviv, Israel",Israel,Identity & Access,,Unknown,,,,,14.00,,No,,,Accelerator,Feb 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CopperHelm,www.copperhelm.com,https://my.pitchbook.com/profile/753165-28/company/profile,,,Cloud identity security and privilege management platform,"Tel Aviv, Israel",Israel,Identity & Access,,Unknown,,,,,14.00,,No,,,Seed,Apr 2026,7.00,TLV Partners,"Ephraim Yarmak, Guy Zipori, Icon Ventures, Kfir Tishbi, Or Hiltch, SaaS Ventures, ToDay Ventures",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CopperHelm,www.copperhelm.com,https://my.pitchbook.com/profile/753165-28/company/profile,,,Cloud identity security and privilege management platform,"Tel Aviv, Israel",Israel,Identity & Access,,Unknown,,,,,14.00,,No,,,Seed,,7.0,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Coro,coro.net,,2014,201-500,Modular Cybersecurity Platform for SMEs,Tel Aviv,Israel,Security Operations,"Dror Liwer, Guy Moskowitz",8200,IDF Unit 8200 cybersecurity veterans — enterprise security,,,"SMB and mid-market — 10,000+ customers globally",269.5,,No,,,Series D,,269.5,,,,Startup Nation Finder,Modular cybersecurity for SMEs. $269.5M raised. Series D JVP + Koch Disruptive Technologies.
Corsound AI,www.corsound.ai,https://my.pitchbook.com/profile/523128-43/company/profile,2020,14,Voice AI security — deepfake voice detection and speaker verification platform,"Azrieli Sarona Tower 121 Menachem Begin Street, 57th floor, Tel Aviv 6701203, Israel",Israel,Identity & Access,Idan Zachar,Unknown,,,,,5.12,,No,,,Seed,Apr 2023,3.50,,,10.29,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Other Commercial Services | Business/Productivity Software
Corsound AI,www.corsound.ai,https://my.pitchbook.com/profile/523128-43/company/profile,2020,14,Voice AI security — deepfake voice detection and speaker verification platform,"Azrieli Sarona Tower 121 Menachem Begin Street, 57th floor, Tel Aviv 6701203, Israel",Israel,Identity & Access,Idan Zachar,Unknown,,,,,5.12,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Other Commercial Services | Business/Productivity Software
Corsound AI,www.corsound.ai,https://my.pitchbook.com/profile/523128-43/company/profile,2020,14,Voice AI security — deepfake voice detection and speaker verification platform,"Azrieli Sarona Tower 121 Menachem Begin Street, 57th floor, Tel Aviv 6701203, Israel",Israel,Identity & Access,Idan Zachar,Unknown,,,,,5.12,,No,,,Early Stage VC,Jul 2024,1.62,,,10.12,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Other Commercial Services | Business/Productivity Software
Corsound AI,www.corsound.ai,https://my.pitchbook.com/profile/523128-43/company/profile,2020,14,Voice AI security — deepfake voice detection and speaker verification platform,"Azrieli Sarona Tower 121 Menachem Begin Street, 57th floor, Tel Aviv 6701203, Israel",Israel,Identity & Access,Idan Zachar,Unknown,,,,,5.12,,No,,,Accelerator,Dec 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Other Commercial Services | Business/Productivity Software
Creednz,www.creednz.com,https://my.pitchbook.com/profile/527214-97/company/profile,2021,,Payment fraud prevention and treasury security platform for enterprises,"Arye Shenkar Street 1, Herzliya 4672501, Israel",Israel,GRC & Compliance,,Unknown,,,,,7.00,,No,,,Seed,Sep 2023,7.00,Blumberg Capital,"Elron Ventures, Moneta Venture Capital",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Creednz,www.creednz.com,https://my.pitchbook.com/profile/527214-97/company/profile,2021,,Payment fraud prevention and treasury security platform for enterprises,"Arye Shenkar Street 1, Herzliya 4672501, Israel",Israel,GRC & Compliance,,Unknown,,,,,7.00,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CyCognito,cycognito.com,,2017,51-200,Attack Surface Analysis and Remediation,Tel Aviv,Israel,Security Operations,"Rob Gurzeev, Dima Potekhin",8200,IDF Unit 8200 leadership — offensive security expertise,,,"Fortune 500 — healthcare, financial services, retail",153,,No,,,Series C,,153.0,,,,Startup Nation Finder,$153M raised. Series C Accel. Attack surface management from attacker perspective.
Cyabra,www.cyabra.com,https://my.pitchbook.com/profile/230143-96/company/profile,2017,56,Disinformation detection and threat intelligence — identifies fake accounts and influence operations,"Gershon Shatz Street 13, Tel Aviv 6701749, Israel",Israel,Threat Intelligence,Dan Brahmy,Unknown,,,,,14.49,,No,,,Later Stage VC,Jun 2023,,,,,PitchBook,Primary Industry: Media and Information Services (B2B)
Cyabra,www.cyabra.com,https://my.pitchbook.com/profile/230143-96/company/profile,2017,56,Disinformation detection and threat intelligence — identifies fake accounts and influence operations,"Gershon Shatz Street 13, Tel Aviv 6701749, Israel",Israel,Threat Intelligence,Dan Brahmy,Unknown,,,,,14.49,,No,,,Accelerator,May 2024,,,,,PitchBook,Primary Industry: Media and Information Services (B2B)
Cyata,cyata.io,,2023,,Agent identity control and non-human identity (NHI) security platform,Tel Aviv,Israel,Identity & Access,Unknown,8200,Unknown,,,,8.5,,Yes,Unknown,Undisclosed,Seed,Jul 2025,8.50,TLV Partners,"Ron Serber, Yossi Carmil",,PitchBook (cyber_deals export),Acquired Aug 2025. NHI = hottest emerging sub-category.
Cybellum,cybellum.com,,2016,11-50,Cyber Security for Automotive,Tel Aviv,Israel,OT / ICS / IoT,,Unknown,,,,,14.5,,Yes,,,,,14.5,,,,Startup Nation Finder,Stage: Acquired. Business Model: B2B.
Cyber 2.0,www.cyber20.com,https://my.pitchbook.com/profile/224103-61/company/profile,2015,15,Network cybersecurity — prevents lateral movement and internal network attacks,"1 Noah Mozes Street, Rishon Lezion, Israel",Israel,Network Security,Hertzel Ozer,Unknown,,,,,8.20,,No,,,Accelerator,Aug 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
CyberArk,cyberark.com,,1999,,"Identity security — privileged access management (PAM), secrets management, workforce identity platform",Petah Tikva,Israel,Identity & Access,"Udi Mokady, Alon Cohen",Unknown,Enterprise security,,,"Fortune 500, US Federal, global banks",1640.0,,Yes,Palo Alto Networks,25000,,,,,,,SNC 2025,Acquired by Palo Alto Networks $25B in 2025. Largest Israeli cyber company at acquisition.
CyberRidge,www.cyber-ridge.com,https://my.pitchbook.com/profile/512455-60/company/profile,2021,19,Network-based cyber blocking and lateral movement prevention platform,Tel Aviv,Israel,Network Security,Daniel Sadot,Unknown,,,,,11.70,23.57,No,,,Seed,Jun 2023,6.70,,,23.57,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CyberRidge,www.cyber-ridge.com,https://my.pitchbook.com/profile/512455-60/company/profile,2021,19,Network-based cyber blocking and lateral movement prevention platform,Tel Aviv,Israel,Network Security,Daniel Sadot,Unknown,,,,,11.70,23.57,No,,,Accelerator,Mar 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
CyberRidge,www.cyber-ridge.com,https://my.pitchbook.com/profile/512455-60/company/profile,2021,19,Network-based cyber blocking and lateral movement prevention platform,Tel Aviv,Israel,Network Security,Daniel Sadot,Unknown,,,,,11.70,23.57,No,,,Later Stage VC,Jan 2026,,Arkin Capital in January 2026,"Arieli Group, BIRD Foundation, Deep33 Ventures, Elron Ventures, Innovation Authority, Redseed",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cybereason,cybereason.com,,2012,500+,Unified Cyberattack Protection,Tel Aviv,Israel,OT / ICS / IoT,"Lior Div, Yonatan Striem-Amit, Yossi Naar",8200,"Lior Div: Team Commander Unit 8200 (6 yrs, Medal of Honor), then AlfaTech (gov cybersecurity services)",,,"Lockheed Martin, SoftBank, Wipro",933.6,,Yes,LevelBlue,,,,933.6,,,,Startup Nation Finder,Acquired by LevelBlue Nov 2025. Lior Div + Yonatan Striem-Amit now founded Seven AI ($36M Greylock). All 3 founders Unit 8200 veterans.
Cyberlights AI,www.cyberlights.io,https://my.pitchbook.com/profile/718343-20/company/profile,2024,7,AI-powered video intelligence and physical security platform,Israel,Israel,AI Security,,Unknown,,,,,,,No,,,Accelerator,Oct 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Aerospace and Defense. Media and Information Services (B2B) | Network Management Software | Other Commercial Services
Cyberlights AI,www.cyberlights.io,https://my.pitchbook.com/profile/718343-20/company/profile,2024,7,AI-powered video intelligence and physical security platform,Israel,Israel,AI Security,,Unknown,,,,,,,No,,,Seed,Mar 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Aerospace and Defense. Media and Information Services (B2B) | Network Management Software | Other Commercial Services
Cybersixgill,cybersixgill.com,,,,Developer of a threat intelligence portal designed to analyze dark web activity and prevent cyber-attacks and sensiti...,Tel Aviv,Israel,Threat Intelligence,,Unknown,,,,,,,No,,,Later Stage VC,Jun 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Information Technology
Cybersixgill,cybersixgill.com,,,,Developer of a threat intelligence portal designed to analyze dark web activity and prevent cyber-attacks and sensiti...,Tel Aviv,Israel,Threat Intelligence,,Unknown,,,,,,,No,,,Later Stage VC,Sep 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Information Technology
Cyberwrite,cyberwrite.com,,2017,11-50,Cyber Insurance Technologies,Tel Aviv,Israel,GRC & Compliance,Nir Perry,Unknown,Cybersecurity risk and insurance professional,,,"Insurance companies, financial institutions",9.45,,No,,,Series B,,9.45,,,,Startup Nation Finder,Cyber insurance analytics. AI-powered risk scoring for underwriters.
Cybord,www.cybord.ai,https://my.pitchbook.com/profile/433156-51/company/profile,2018,37,Electronic component integrity — detects counterfeit and malicious hardware in supply chains,Israel,Israel,Supply Chain Security,Eyal Weiss Ph.D,Unknown,,,,,20.69,11.81,No,,,Later Stage VC,Apr 2026,15.70,Capri Ventures,"Apple Core Holdings, IL Ventures, NextLeap Ventures, Ocean Azul Partners",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Cyclops Security,cyclopssecurity.com,,2022,,Unified cybersecurity data platform — consolidates security data for risk-based prioritization,Tel Aviv,Israel,Security Operations,"Daniel Sadot, Roy Horev",8200,Palo Alto Networks,,,Enterprise,,,Yes,Check Point,Undisclosed,Seed,Jul 2023,6.40,"Merlin Ventures, Tal Ventures, ToDay Ventures","CrowdStrike Holdings, Dan Amiga, Eyal Gruner, Ibex Investors, Insight Partners, Magnolia Energy Capital, Mike Fey, Ofer Smadari",,PitchBook (cyber_deals export),Acquired by Check Point Feb 2026.
Cyclops Security,cyclopssecurity.com,,2022,,Unified cybersecurity data platform — consolidates security data for risk-based prioritization,Tel Aviv,Israel,Security Operations,"Daniel Sadot, Roy Horev",8200,Palo Alto Networks,,,Enterprise,,,Yes,Check Point,Undisclosed,Accelerator,Dec 2023,,,,,PitchBook (cyber_deals export),Acquired by Check Point Feb 2026.
Cycode,cycode.com,,2019,51-200,Software Supply Chain Security,Tel Aviv,Israel,Application Security,,Unknown,,,,,80.6,,No,,,Series B,,80.6,,,,Startup Nation Finder,Stage: B. Business Model: B2B.
Cydome Security,cydome.io,,2018,11-50,Maritime Supply Chain Protection,Tel Aviv,Israel,Application Security,,Unknown,,,,,10.8,,No,,,Series A,,10.8,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Cyera,cyera.io,,2021,,Data security platform — DSPM and enterprise data governance across cloud and SaaS at scale,New York / Tel Aviv,Israel,Data Security,"Tamar Bar-Ilan, Yotam Segev",8200,"CyberArk, Check Point",,,"Fortune 500 financial services, healthcare",2300.0,6000,No,,,,,,,,,SNC 2025,Two rounds 2025 totaling $940M. Fastest Israeli cyber growth story 2025. Acquiring competitors.
Cyera,cyera.io,,2021,,Data security platform — DSPM and enterprise data governance across cloud and SaaS at scale,New York / Tel Aviv,Israel,Data Security,"Tamar Bar-Ilan, Yotam Segev",8200,"CyberArk, Check Point",,,"Fortune 500 financial services, healthcare",2300.0,6000,No,,,Growth,2026-06-18,600.0,,,,https://en.globes.co.il/test,Auto-added from Globes scrape
Cygon,cygon.io,,2024,11-50,Continuous Proximity Exposure Management,Tel Aviv,Israel,Security Operations,,Unknown,,,,,2.1,,No,,,Pre-Seed,,2.1,,,,Startup Nation Finder,Stage: Pre-Seed. Business Model: B2B.
Cylake,cylake.com,,2026,17,"AI-native cybersecurity platform with full data sovereignty — no public cloud required, for regulated industries and government",Sunnyvale / Tel Aviv,Israel,Security Operations,"Nir Zuk, Wilson Xu, Ehud (Udi) Shamir",Unknown,Nir Zuk: Founder & 20yr CTO Palo Alto Networks; Wilson Xu: Engineering lead Palo Alto; Ehud Shamir: Co-founder SentinelOne,,,"Regulated industries, government, critical infrastructure (design partners only — product launches early 2027)",45,,No,,,,,,,,,CTech / Globes / GlobeNewswire Mar 2026,"One of the largest seed rounds in cybersecurity history. Founded by Palo Alto Networks founder Nir Zuk + SentinelOne co-founder. AI-native, fully on-prem/private cloud. Commercial availability early 2027."
Cylus,cylus.com,,2017,51-200,Railway Cybersecurity Solutions,Tel Aviv,Israel,OT / ICS / IoT,"Amir Levintal, Assaf Harel",8200,IDF Unit 8200 cybersecurity veterans — OT/ICS focus,,,"National railways, metro operators, transit agencies worldwide",54,,No,,,Series B,,54.0,,,,Startup Nation Finder,Railway cybersecurity solutions. $54M raised. Series B Awz Ventures + Koch Disruptive Technologies.
Cymdall,www.cymdall.com,https://my.pitchbook.com/profile/588697-57/company/profile,2022,6,Cybersecurity management and security operations platform,Israel,Israel,Security Operations,Pavel Yosifovich,Unknown,,,,,,,No,,,Accelerator,May 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cympire,www.cympire.com,https://my.pitchbook.com/profile/340783-39/company/profile,2020,18,Cybersecurity training and simulation — cyber range for team readiness,Israel,Israel,Security Operations,Yaniv Shachar,Unknown,,,,,,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Educational Software
Cymulate,cymulate.com,,2016,201-500,Exposure Management and Security Validation,Tel Aviv,Israel,Security Operations,"Eyal Wachsman, Avihai Ben-Yossef, Dean Agron",8200,IDF Unit 8200 — offensive security and intelligence,,,"Large enterprise, financial services, critical infrastructure — 500+ customers",126,,No,,,Series D,,126.0,,,,Startup Nation Finder,Breach and attack simulation / exposure management. $126M raised. One Peak Partners Series D.
Cyn.Ai,cyn.ai,https://my.pitchbook.com/profile/492890-68/company/profile,2019,13,AI-powered cybersecurity platform for enterprise threat management and response,Israel,Israel,AI Security,Gil Levy,Unknown,,,,,,,No,,,Accelerator,Sep 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software | Media and Information Services (B2B)
Cynamics,cynamics.net,,2018,11-50,Network Detection and Response Solution,Tel Aviv,Israel,Network Security,,Unknown,,,,,7.0,,No,,,Seed,,7.0,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Cynerio,cynerio.com,,2017,11-50,Cybersecurity for Healthcare Providers,Tel Aviv,Israel,Security Operations,,Unknown,,,,,37.0,,Yes,,,,,37.0,,,,Startup Nation Finder,Stage: Acquired. Business Model: B2B.
Cynet,cynet.com,,2015,201-500,Threat Detection and Response Platform,Tel Aviv,Israel,Security Operations,Eyal Gruner,8200,IDF Unit 8200 cybersecurity leadership,,,"SMB and mid-market enterprises globally, MSSPs",78,,No,,,Series C,,78.0,,,,Startup Nation Finder,All-in-one threat detection and response for resource-constrained teams. $78M raised. Series C.
Cyngular Security,www.cyngular.com,https://my.pitchbook.com/profile/517465-18/company/profile,2021,29,Digital workspace and endpoint security platform,Israel,Israel,Endpoint & XDR,Paul Moskovich,Unknown,,,,,,,No,,,Early Stage VC,Mar 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. IT Consulting and Outsourcing
Cynomi,www.cynomi.com,https://my.pitchbook.com/profile/481620-52/company/profile,2020,75,Israeli cybersecurity company — Network Management Software,Israel,Israel,Security Operations,David Primor Ph.D,Unknown,,,,,63.89,120.35,No,,,Early Stage VC,Apr 2024,19.52,"Selah Ventures, Canaan Partners","Aloniq, Flint Capital, S16VC",38.45,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software | IT Consulting and Outsourcing
Cynomi,www.cynomi.com,https://my.pitchbook.com/profile/481620-52/company/profile,2020,75,Israeli cybersecurity company — Network Management Software,Israel,Israel,Security Operations,David Primor Ph.D,Unknown,,,,,63.89,120.35,No,,,Later Stage VC,Apr 2025,40.88,Entree Capital,"Canaan Partners, Flint Capital, Insight Partners, New York Angels, S16VC",120.35,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software | IT Consulting and Outsourcing
Cyolo,cyolo.io,,2019,51-200,Secure Remote Privileged Access for OT,Tel Aviv,Israel,Identity & Access,"Almog Apirion, Dor Knafo, Yossi Appleboum",8200,Almog Apirion: Cybersecurity & IT Director / CISO at Orbotech,Almog Apirion: https://www.linkedin.com/in/almog-apirion/,,"Industrial, manufacturing, utilities — OT environments",85.2,,No,,,Series B,,85.2,,,,Startup Nation Finder,Zero trust for OT/CPS. $85.2M raised. Series B Merlin Ventures.
Cypago Security,www.cypago.com,https://my.pitchbook.com/profile/484460-38/company/profile,2020,23,Cyber GRC and compliance automation — automates evidence collection and audit workflows,Israel,Israel,GRC & Compliance,Arik Solomon,Unknown,,,,,13.00,,No,,,Early Stage VC,Aug 2023,13.00,"Axon, Jump Capital","Ariel Maislos, Ehud Weinstein, Entrée Capital, IN Venture, Ofir Shalvi",,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software
Cypago Security,www.cypago.com,https://my.pitchbook.com/profile/484460-38/company/profile,2020,23,Cyber GRC and compliance automation — automates evidence collection and audit workflows,Israel,Israel,GRC & Compliance,Arik Solomon,Unknown,,,,,13.00,,No,,,Seed,,13.0,,,,PitchBook (cyber_deals export),Primary Industry: Business/Productivity Software
Cytactic Cyber Management,www.cytactic.com,https://my.pitchbook.com/profile/558446-14/company/profile,2022,48,Cybersecurity crisis management and incident command — war room platform for cyber events,Israel,Israel,Security Operations,Nimrod Kozlovski Ph.D,Unknown,,,,,16.00,,No,,,Seed,Jul 2024,16.00,Evolution Equity Partners,Hyperwise Ventures,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cytactic Cyber Management,www.cytactic.com,https://my.pitchbook.com/profile/558446-14/company/profile,2022,48,Cybersecurity crisis management and incident command — war room platform for cyber events,Israel,Israel,Security Operations,Nimrod Kozlovski Ph.D,Unknown,,,,,16.00,,No,,,Seed,,16.0,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cytrix,cytrix.io,https://my.pitchbook.com/profile/496445-86/company/profile,2024,20,Cybersecurity software for enterprise environments,Israel,Israel,Security Operations,Sahar Avitan,Unknown,,,,,,,No,,,Seed,Feb 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Cyviation,www.cyviation.aero,https://my.pitchbook.com/profile/537505-93/company/profile,2021,16,Aviation cybersecurity — securing aircraft systems and airline operations from cyber threats,Israel,Israel,OT / ICS / IoT,Eliran Almog,Unknown,,,,,4.00,,No,,,Seed,Oct 2023,4.00,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Aerospace and Defense
Cyviation,www.cyviation.aero,https://my.pitchbook.com/profile/537505-93/company/profile,2021,16,Aviation cybersecurity — securing aircraft systems and airline operations from cyber threats,Israel,Israel,OT / ICS / IoT,Eliran Almog,Unknown,,,,,4.00,,No,,,Early Stage VC,Oct 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Aerospace and Defense
Cyvore,www.cyvore.com,https://my.pitchbook.com/profile/632212-66/company/profile,2024,13,Cybersecurity posture assessment and risk management platform,Israel,Israel,Cloud Security,Yiftach Rotem,Unknown,,,,,2.50,,No,,,Seed,Apr 2025,2.50,Ineffable Ventures,"1948 Ventures, Matzliach Capital, SaaS Ventures",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Daylight Security,www.daylight.ai,https://my.pitchbook.com/profile/753167-17/company/profile,2024,32,Cloud security and data protection platform for enterprise environments,Israel,Israel,Security Operations,Hagai Shapira,Unknown,,,,,40.00,,No,,,Accelerator,Feb 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Daylight Security,www.daylight.ai,https://my.pitchbook.com/profile/753167-17/company/profile,2024,32,Cloud security and data protection platform for enterprise environments,Israel,Israel,Security Operations,Hagai Shapira,Unknown,,,,,40.00,,No,,,Seed,Jul 2025,7.00,Bain Capital Ventures,"Eldad Livni, Leonid Belkind, Maple VC, Ofer Smadari, Ofir Ehrlich, Tamar Bar-Ilan, Yotam Segev",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Daylight Security,www.daylight.ai,https://my.pitchbook.com/profile/753167-17/company/profile,2024,32,Cloud security and data protection platform for enterprise environments,Israel,Israel,Security Operations,Hagai Shapira,Unknown,,,,,40.00,,No,,,Early Stage VC,Nov 2025,33.00,Craft Ventures,"Assaf Rappaport, Bain Capital Ventures, Leonid Belkind, Maple VC, Ofer Smadari, Ofir Ehrlich, Tamar Bar-Ilan, Vintage",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Daylight Security,www.daylight.ai,https://my.pitchbook.com/profile/753167-17/company/profile,2024,32,Cloud security and data protection platform for enterprise environments,Israel,Israel,Security Operations,Hagai Shapira,Unknown,,,,,40.00,,No,,,Series A,,40.0,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Dazz,dazz.io,,2021,,Vulnerability remediation and AppSec automation — correlates findings and auto-remediates at scale,Tel Aviv,Israel,Application Security,"Merav Bahat, Tomer Schwartz",8200,"Microsoft, CyberArk",,,"Fortune 500, financial services",68,,Yes,Wiz,Undisclosed,,,,,,,SNC 2025 / PitchBook,Acquired by Wiz 2025. CyberStarts + Greylock + Insight.
Deep Instinct,deepinstinct.com,,2015,51-200,Cybersecurity Platform Powered by Deep Learning,Tel Aviv,Israel,Security Operations,"Guy Caspi, Eli David",8200,Guy Caspi: enterprise software leadership; Eli David: deep learning researcher (post-doctoral Bar-Ilan University),,,"Enterprise, financial services, healthcare",338.2,,No,,,Series E,,338.2,,,,Startup Nation Finder,Deep learning-based endpoint security. $338.2M raised. Series E. First company to apply deep learning to cybersecurity.
DeepKeep,www.deepkeep.ai,https://my.pitchbook.com/profile/503893-90/company/profile,2021,39,AI model security — runtime protection and robustness testing for ML models in production,Israel,Israel,AI Security,Rony Ohayon Ph.D,Unknown,,,,,19.0,37.00,No,,,Accelerator,Oct 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
DeepKeep,www.deepkeep.ai,https://my.pitchbook.com/profile/503893-90/company/profile,2021,39,AI model security — runtime protection and robustness testing for ML models in production,Israel,Israel,AI Security,Rony Ohayon Ph.D,Unknown,,,,,19.0,37.00,No,,,Early Stage VC,Feb 2025,7.00,,,37.00,PitchBook (cyber_deals export),Primary Industry: Network Management Software
DeepKeep,www.deepkeep.ai,https://my.pitchbook.com/profile/503893-90/company/profile,2021,39,AI model security — runtime protection and robustness testing for ML models in production,Israel,Israel,AI Security,Rony Ohayon Ph.D,Unknown,,,,,19.0,37.00,No,,,Equity Crowdfunding,Feb 2026,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Descope Technologies,descope.com,https://my.pitchbook.com/profile/510795-37/company/profile,2022,,Customer identity and authentication (CIAM) — developer-first no-code authentication platform,Tel Aviv,Israel,Identity & Access,Slavik Markovich,Unknown,Demisto (Palo Alto Networks),,,Enterprise developers,88,,No,,,Seed,Sep 2025,88.00,,,,PitchBook (cyber_deals export),Developer-first CIAM. $88M raised. Lightspeed backed.
Descope Technologies,descope.com,https://my.pitchbook.com/profile/510795-37/company/profile,2022,,Customer identity and authentication (CIAM) — developer-first no-code authentication platform,Tel Aviv,Israel,Identity & Access,Slavik Markovich,Unknown,Demisto (Palo Alto Networks),,,Enterprise developers,88,,No,,,Seed,,88.0,,,,PitchBook (cyber_deals export),Developer-first CIAM. $88M raised. Lightspeed backed.
Dig Security,dig.security,,2021,,Cloud data security platform — DSPM for multi-cloud environments,Tel Aviv,Israel,Data Security,"Dan Benjamin, Ido Azran, Gad Akuka",8200,CISO roles,,,Enterprise cloud teams,34,,Yes,Palo Alto Networks,Undisclosed,,,,,,,PitchBook,Acquired by Palo Alto Networks 2023. CyberStarts + Merlin Ventures co-investment.
DoControl,docontrol.io,,2020,51-200,No-code SaaS Security Platform,Tel Aviv,Israel,Application Security,"Adam Gavish, Omri Weinberg",8200,IDF Unit 8200 cybersecurity veterans — cloud/SaaS security,,,Enterprise SaaS-heavy organizations,43.4,,No,,,Series B,,43.4,,,,Startup Nation Finder,No-code SaaS security platform. $43.4M raised. Series B RTP Global.
Dream Security,dream.security,https://my.pitchbook.com/profile/510561-82/company/profile,2022,,AI-powered cyber defense — autonomous threat detection at national and enterprise scale,Tel Aviv,Israel,Security Operations,Shalev Hulio,8200,NSO Group (co-founder),,,"Government, critical infrastructure",155.0,1100,No,,,Early Stage VC,Nov 2023,33.60,Aleph (Israel),"Dovi Frances, Group 11, Tau Capital",166.50,PitchBook (cyber_deals export),Unicorn $1.1B. Shalev Hulio = NSO Group co-founder. AI-native cyber defense.
